PM10,SO2,NO2,CO,TEMP,PRES,DEWP,RAIN,WSPM,O3,PM2.5
6,13,7,300,-2.3,1020.8,-19.7,0,0.5,85,3
3,6,6,300,-2.5,1021.3,-19,0,0.7,85,3
3,22,13,400,-3,1021.3,-19.9,0,0.2,74,3
6,12,8,300,-3.6,1021.8,-19.1,0,1,81,3
3,14,8,300,-3.5,1022.3,-19.4,0,2.1,81,3
3,10,17,400,-4.5,1022.6,-19.5,0,1.7,71,3
6,12,22,500,-4.5,1023.4,-19.5,0,1.8,65,4
6,25,39,600,-2.1,1024.6,-20,0,2.5,48,3
25,13,42,700,-0.2,1025.2,-20.5,0,2.8,46,9
29,5,18,500,0.6,1025.3,-20.4,0,3.8,73,11
10,3,10,300,2,1025.1,-21.3,0,2.2,83,9
3,4,9,300,3.6,1024.8,-20.7,0,2.7,81,3
6,4,8,300,4.8,1023.8,-19.7,0,3,90,3
101,5,9,300,5.8,1022.8,-20.6,0,4.4,89,3
60,5,6,300,5.9,1022.6,-20.5,0,3.6,94,9
34,6,7,300,6,1022.6,-20.4,0,3.2,94,3
28,5,9,300,5.4,1022.8,-20,0,2.2,92,3
25,19,12,300,3.5,1023.4,-20.8,0,2,88,6
17,40,22,600,2.7,1024.2,-20,0,3.6,77,4
19,37,22,600,2,1025.1,-19.3,0,1.7,75,7
21,23,14,300,1.1,1025.9,-18.3,0,1.7,80,8
16,34,19,300,1.6,1026.7,-17.4,0,2.3,74,7
13,25,16,300,0.4,1027.2,-17.4,0,0,76,5
12,43,25,500,0.3,1027,-16.6,0,1.5,65,7
13,23,16,400,-0.5,1027.4,-16.4,0,3,69,11
10,24,18,400,-1.8,1027.9,-16.7,0,0.9,67,12
9,NA,56,800,-1.7,1027.7,-17.4,0,1.5,33,13
24,23,42,NA,-2.5,1027.7,-17.4,0,1.7,NA,14
18,24,NA,400,-3.4,1027.5,-17,0,0.8,45,14
13,37,57,600,-3.5,1026.9,-16.8,0,0.5,28,13
15,38,66,900,-3.5,1026.1,-15.8,0,0.9,16,16
25,39,63,900,-3.3,1026.7,-14.4,0,0.9,18,19
26,41,66,1100,-2,1026.4,-15.1,0,1,14,22
43,53,69,1600,-0.2,1026.3,-16.6,0,0.5,13,29
70,40,54,900,0.6,1025.8,-17.2,0,1.3,29,46
33,40,61,800,1.3,1025.4,-17.1,0,1.1,28,30
41,42,51,700,1.9,1024.2,-17.1,0,1.6,38,31
34,42,50,700,2.3,1022.6,-17.3,0,0.2,42,30
32,50,59,900,3,1021.9,-17.3,0,0,36,30
41,49,58,900,2.9,1020.9,-16.8,0,1.2,38,38
49,49,62,900,2.5,1020.6,-17.1,0,0.5,35,42
50,50,66,900,2.1,1020.2,-16.4,0,0.7,31,44
55,50,73,900,1.5,1020.4,-16,0,0.7,23,44
60,34,76,1000,0.3,1020,-15.3,0,0.6,18,47
65,43,84,1300,0,1019.9,-15.2,0,0.2,12,52
76,51,82,1700,-1.2,1019.7,-13.7,0,1,9,69
83,49,82,1600,-2.1,1019.1,-13.3,0,0.4,8,72
71,68,87,2000,-2.2,1018.2,-13.4,0,1.1,9,62
87,41,76,1500,-2.4,1017.4,-13,0,1,7,73
